,Port Number,Description
594,352,DTAG
595,352,DTAG
596,352,bhoedap4
597,352,bhoedap4
598,353,NDSAUTH
599,353,NDSAUTH
600,354,bh611
601,354,bh611
602,355,DATEX-ASN
603,355,DATEX-ASN
604,356,Cloanto Net 1
605,356,Cloanto Net 1
606,357,bhevent
607,357,bhevent
608,358,Shrinkwrap
609,358,Shrinkwrap
610,359,Network Security Risk Management Protocol
611,359,Network Security Risk Management Protocol
612,360,scoi2odialog
613,360,scoi2odialog
614,361,Semantix
615,361,Semantix
616,362,SRS Send
617,362,SRS Send
618,363,"RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
619,363,RSVP Tunnel
620,363,"RSVP Tunnel
IANA assigned this well-formed service name as a replacement for ""rsvp_tunnel""."
621,363,RSVP Tunnel
622,364,Aurora CMGR
623,364,Aurora CMGR
624,365,DTK
625,365,DTK
626,366,ODMR
627,366,ODMR
628,367,MortgageWare
629,367,MortgageWare
630,368,QbikGDP
631,368,QbikGDP
632,369,rpc2portmap
633,369,rpc2portmap
634,370,codaauth2
635,370,codaauth2
636,371,Clearcase
637,371,Clearcase
638,372,ListProcessor
639,372,ListProcessor
640,373,Legent Corporation
641,373,Legent Corporation
642,374,Legent Corporation
643,374,Legent Corporation
644,375,Hassle
645,375,Hassle
646,376,Amiga Envoy Network Inquiry Proto
647,376,Amiga Envoy Network Inquiry Proto
648,377,NEC Corporation
649,377,NEC Corporation
650,378,NEC Corporation
651,378,NEC Corporation
652,379,TIA/EIA/IS-99 modem client
653,379,TIA/EIA/IS-99 modem client
654,380,TIA/EIA/IS-99 modem server
655,380,TIA/EIA/IS-99 modem server
656,381,hp performance data collector
657,381,hp performance data collector
658,382,hp performance data managed node
659,382,hp performance data managed node
660,383,hp performance data alarm manager
661,383,hp performance data alarm manager
662,384,A Remote Network Server System
663,384,A Remote Network Server System
664,385,IBM Application
665,385,IBM Application
666,386,ASA Message Router Object Def.
667,386,ASA Message Router Object Def.
668,387,Appletalk Update-Based Routing Pro.
669,387,Appletalk Update-Based Routing Pro.
670,388,Unidata LDM
671,388,Unidata LDM
672,389,Lightweight Directory Access Protocol
673,389,Lightweight Directory Access Protocol
674,390,UIS
675,390,UIS
676,391,SynOptics SNMP Relay Port
677,391,SynOptics SNMP Relay Port
678,392,SynOptics Port Broker Port
679,392,SynOptics Port Broker Port
680,393,Meta5
681,393,Meta5
682,394,EMBL Nucleic Data Transfer
683,394,EMBL Nucleic Data Transfer
684,395,NetScout Control Protocol
685,395,NetScout Control Protocol
686,396,Novell Netware over IP
687,396,Novell Netware over IP
688,397,Multi Protocol Trans. Net.
689,397,Multi Protocol Trans. Net.
690,398,Kryptolan
691,398,Kryptolan
692,399,ISO Transport Class 2 Non-Control over TCP
693,399,ISO Transport Class 2 Non-Control over UDP
694,400,Oracle Secure Backup
695,400,Oracle Secure Backup
696,401,Uninterruptible Power Supply
697,401,Uninterruptible Power Supply
698,402,Genie Protocol
699,402,Genie Protocol
700,403,decap
701,403,decap
702,404,nced
703,404,nced
704,405,ncld
705,405,ncld
706,406,Interactive Mail Support Protocol
707,406,Interactive Mail Support Protocol
708,407,Timbuktu
709,407,Timbuktu
710,408,Prospero Resource Manager Sys. Man.
711,408,Prospero Resource Manager Sys. Man.
712,409,Prospero Resource Manager Node Man.
713,409,Prospero Resource Manager Node Man.
